Package Identifier,ULD Identifier,x1,y1,z1,x2,y2,z2
P-49,U5,0,50,109,69,90,209
P-50,U5,69,0,110,133,73,214
P-51,NONE,-1,-1,-1,-1,-1,-1
P-52,NONE,-1,-1,-1,-1,-1,-1
P-53,U4,129,0,107,182,44,213
P-54,U4,129,139,1,180,198,107
P-55,NONE,-1,-1,-1,-1,-1,-1
P-56,NONE,-1,-1,-1,-1,-1,-1
P-57,U5,69,129,198,133,188,281
P-58,U1,0,261,0,102,316,95
P-59,U4,0,43,16,79,92,101
P-60,NONE,-1,-1,-1,-1,-1,-1
P-61,NONE,-1,-1,-1,-1,-1,-1
P-62,NONE,-1,-1,-1,-1,-1,-1
P-63,U2,139,0,3,224,75,72
P-64,NONE,-1,-1,-1,-1,-1,-1
P-65,U4,0,92,51,78,202,101
P-66,U4,79,89,16,129,136,102
P-67,NONE,-1,-1,-1,-1,-1,-1
P-68,U3,91,123,93,137,215,174
P-69,U5,133,262,200,187,309,284
P-70,NONE,-1,-1,-1,-1,-1,-1
P-71,U3,140,0,136,239,43,196
P-72,NONE,-1,-1,-1,-1,-1,-1
P-73,U5,69,188,198,132,292,284
P-74,NONE,-1,-1,-1,-1,-1,-1
P-75,U6,168,232,106,242,317,149
P-76,U1,0,0,0,92,96,40
P-77,U4,79,0,102,129,65,198
P-78,U2,45,0,116,149,74,158
P-79,U4,182,0,103,244,75,189
P-80,U3,0,254,65,85,297,109
P-81,NONE,-1,-1,-1,-1,-1,-1
P-82,U6,0,246,0,97,317,66
P-83,NONE,-1,-1,-1,-1,-1,-1
P-84,NONE,-1,-1,-1,-1,-1,-1
P-85,U6,98,264,44,166,311,88
P-86,U6,98,110,184,163,173,225
P-87,U4,129,0,0,182,54,107
P-88,NONE,-1,-1,-1,-1,-1,-1
P-89,NONE,-1,-1,-1,-1,-1,-1
P-90,NONE,-1,-1,-1,-1,-1,-1
P-91,NONE,-1,-1,-1,-1,-1,-1
P-92,U6,98,232,209,163,290,267
P-93,NONE,-1,-1,-1,-1,-1,-1
P-94,U6,0,79,0,98,146,66
P-95,NONE,-1,-1,-1,-1,-1,-1
P-96,U4,79,136,18,129,201,102
P-97,U5,133,265,15,186,318,108
P-98,NONE,-1,-1,-1,-1,-1,-1
P-99,U1,106,143,89,177,213,157
P-100,NONE,-1,-1,-1,-1,-1,-1
P-101,NONE,-1,-1,-1,-1,-1,-1
P-102,U1,0,143,0,106,213,64
P-103,U3,140,106,194,218,208,238
P-104,NONE,-1,-1,-1,-1,-1,-1
P-105,U3,140,72,51,235,175,131
P-106,U5,133,173,108,187,263,200
P-107,NONE,-1,-1,-1,-1,-1,-1
P-108,U1,110,96,0,219,143,70
P-109,U6,0,0,0,98,79,44
P-110,NONE,-1,-1,-1,-1,-1,-1
P-111,NONE,-1,-1,-1,-1,-1,-1
P-112,U6,98,239,88,165,318,151
P-113,NONE,-1,-1,-1,-1,-1,-1
P-114,NONE,-1,-1,-1,-1,-1,-1
P-115,NONE,-1,-1,-1,-1,-1,-1
P-116,NONE,-1,-1,-1,-1,-1,-1
P-117,U6,98,110,225,163,162,274
P-118,NONE,-1,-1,-1,-1,-1,-1
P-119,U3,140,42,10,219,146,51
P-120,U1,173,0,87,221,91,161
P-121,NONE,-1,-1,-1,-1,-1,-1
P-122,U4,0,92,5,77,196,51
P-123,U5,69,171,158,131,214,198
P-124,U5,133,105,4,187,177,108
P-125,U5,0,146,9,68,231,100
P-126,U5,69,0,214,133,85,274
P-127,NONE,-1,-1,-1,-1,-1,-1
P-128,NONE,-1,-1,-1,-1,-1,-1
P-129,U3,140,108,131,225,218,190
P-130,U6,168,142,244,213,220,284
P-131,NONE,-1,-1,-1,-1,-1,-1
P-132,NONE,-1,-1,-1,-1,-1,-1
P-133,U3,0,0,0,91,63,109
P-134,U6,0,79,66,97,167,146
P-135,U2,0,248,0,45,314,108
P-136,U6,98,8,202,164,110,249
P-137,NONE,-1,-1,-1,-1,-1,-1
P-138,NONE,-1,-1,-1,-1,-1,-1
P-139,U6,0,4,44,96,79,128
P-140,NONE,-1,-1,-1,-1,-1,-1
P-141,U1,19,143,64,106,213,107
P-142,U6,168,232,149,242,315,241
P-143,NONE,-1,-1,-1,-1,-1,-1
P-144,NONE,-1,-1,-1,-1,-1,-1
P-145,U6,168,233,0,243,312,106
P-146,U4,129,257,7,174,313,107
P-147,U5,187,205,187,242,251,252
P-148,U6,98,10,153,165,110,202
P-149,U2,0,185,110,104,248,155
P-150,U5,133,51,216,187,93,274
P-151,U3,140,0,196,219,106,240
P-152,U4,79,180,170,128,237,237
P-153,U4,129,252,172,180,314,236
P-154,NONE,-1,-1,-1,-1,-1,-1
P-155,U1,174,0,0,221,95,87
P-156,U1,0,96,0,110,143,73
P-157,U5,133,177,20,187,265,108
P-158,NONE,-1,-1,-1,-1,-1,-1
P-159,U4,79,65,102,129,117,194
P-160,NONE,-1,-1,-1,-1,-1,-1
P-161,NONE,-1,-1,-1,-1,-1,-1
P-162,U3,91,158,174,137,262,239
P-163,U3,91,40,93,140,123,176
P-164,U2,66,83,109,153,185,149
P-165,U6,0,167,66,96,270,159
P-166,U4,182,0,0,244,84,103
P-167,U3,91,58,176,138,158,226
P-168,U5,0,231,12,68,318,100
P-169,U1,109,213,0,203,261,87
P-170,U2,45,0,72,145,81,116
P-171,U5,187,196,12,242,246,105
P-172,U4,0,196,0,76,267,51
P-173,NONE,-1,-1,-1,-1,-1,-1
P-174,U2,85,83,2,132,184,109
P-175,NONE,-1,-1,-1,-1,-1,-1
P-176,NONE,-1,-1,-1,-1,-1,-1
P-177,U3,91,165,12,135,264,53
P-178,NONE,-1,-1,-1,-1,-1,-1
P-179,U4,182,147,103,244,210,176
P-180,U3,140,253,51,220,312,122
P-181,U5,187,0,105,244,58,203
P-182,U4,0,0,199,78,70,244
P-183,U5,187,0,0,244,72,105
P-184,NONE,-1,-1,-1,-1,-1,-1
P-185,U6,98,194,101,165,236,201
P-186,U1,110,96,70,203,143,154
P-187,U5,133,184,200,187,262,284
P-188,U3,0,171,189,86,222,240
P-189,U2,65,185,23,121,248,110
P-190,NONE,-1,-1,-1,-1,-1,-1
P-191,NONE,-1,-1,-1,-1,-1,-1
P-192,U4,0,219,100,76,293,154
P-193,NONE,-1,-1,-1,-1,-1,-1
P-194,U1,0,213,0,109,261,71
P-195,NONE,-1,-1,-1,-1,-1,-1
P-196,NONE,-1,-1,-1,-1,-1,-1
P-197,NONE,-1,-1,-1,-1,-1,-1
P-198,U2,121,185,0,195,244,84
P-199,U6,98,236,151,165,309,209
P-200,NONE,-1,-1,-1,-1,-1,-1
P-201,NONE,-1,-1,-1,-1,-1,-1
P-202,U6,0,79,241,94,131,281
P-203,NONE,-1,-1,-1,-1,-1,-1
P-204,NONE,-1,-1,-1,-1,-1,-1
P-205,U3,91,105,53,138,214,93
P-206,U6,98,162,244,158,209,285
P-207,U6,0,9,227,95,79,272
P-208,U4,79,0,0,129,89,102
P-209,U4,0,233,154,75,305,198
P-210,NONE,-1,-1,-1,-1,-1,-1
P-211,U6,0,79,146,96,160,241
P-212,U6,168,94,170,242,142,275
P-213,NONE,-1,-1,-1,-1,-1,-1
P-214,U3,140,218,131,221,279,189
P-215,U3,0,72,109,89,159,189
P-216,U5,69,85,198,133,129,281
P-217,U6,168,94,53,242,172,125
P-218,U4,0,129,101,77,219,160
P-219,U6,168,0,0,244,94,61
P-220,U2,173,83,5,217,154,109
P-221,U6,98,264,0,166,313,44
P-222,U6,0,197,242,88,270,283
P-223,NONE,-1,-1,-1,-1,-1,-1
P-224,U5,0,90,109,68,146,208
P-225,U1,105,0,107,173,93,161
P-226,U6,168,172,101,242,232,173
P-227,U1,19,0,40,92,96,99
P-228,NONE,-1,-1,-1,-1,-1,-1
P-229,NONE,-1,-1,-1,-1,-1,-1
P-230,U3,0,222,189,86,268,237
P-231,U4,79,170,102,128,266,170
P-232,U6,98,110,85,165,194,132
P-233,NONE,-1,-1,-1,-1,-1,-1
P-234,U2,0,248,108,104,313,151
P-235,NONE,-1,-1,-1,-1,-1,-1
P-236,U5,187,58,105,243,114,196
P-237,NONE,-1,-1,-1,-1,-1,-1
P-238,U5,0,0,109,69,50,211
P-239,NONE,-1,-1,-1,-1,-1,-1
P-240,NONE,-1,-1,-1,-1,-1,-1
P-241,NONE,-1,-1,-1,-1,-1,-1
P-242,U4,129,44,107,182,113,196
P-243,NONE,-1,-1,-1,-1,-1,-1
P-244,U4,182,84,27,244,159,103
P-245,NONE,-1,-1,-1,-1,-1,-1
P-246,U4,182,159,1,243,219,103
P-247,U4,0,0,101,79,62,199
P-248,U6,98,110,132,165,187,184
P-249,U1,102,261,0,191,316,67
P-250,NONE,-1,-1,-1,-1,-1,-1
P-251,NONE,-1,-1,-1,-1,-1,-1
P-252,U6,0,270,166,95,318,276
P-253,NONE,-1,-1,-1,-1,-1,-1
P-254,NONE,-1,-1,-1,-1,-1,-1
P-255,U5,69,57,12,133,153,110
P-256,U2,45,248,16,109,314,108
P-257,U5,133,0,216,187,51,283
P-258,U5,187,198,105,242,269,187
P-259,NONE,-1,-1,-1,-1,-1,-1
P-260,U4,79,0,198,128,99,241
P-261,U4,0,133,160,77,233,202
P-262,NONE,-1,-1,-1,-1,-1,-1
P-263,NONE,-1,-1,-1,-1,-1,-1
P-264,U5,0,146,100,68,206,208
P-265,U3,91,0,177,138,58,237
P-266,U3,0,48,190,88,109,243
P-267,NONE,-1,-1,-1,-1,-1,-1
P-268,NONE,-1,-1,-1,-1,-1,-1
P-269,U4,182,75,187,240,149,243
P-270,U5,187,269,105,239,316,175
P-271,U4,129,109,196,173,201,237
P-272,U5,69,131,110,133,171,185
P-273,U3,0,242,109,85,313,188
P-274,U6,168,6,61,243,94,171
P-275,U6,168,94,125,242,171,170
P-276,U4,182,0,189,244,69,235
P-277,U5,133,0,0,187,105,108
P-278,U4,0,235,198,73,315,242
P-279,NONE,-1,-1,-1,-1,-1,-1
P-280,U5,187,246,15,240,307,105
P-281,NONE,-1,-1,-1,-1,-1,-1
P-282,U5,133,81,108,187,173,215
P-283,U6,0,146,0,97,246,66
P-284,U6,98,0,0,168,110,52
P-285,U5,133,0,108,187,81,216
P-286,NONE,-1,-1,-1,-1,-1,-1
P-287,NONE,-1,-1,-1,-1,-1,-1
P-288,NONE,-1,-1,-1,-1,-1,-1
P-289,U1,177,143,89,220,213,155
P-290,U1,109,213,87,189,259,156
P-291,U6,168,13,171,242,94,211
P-292,NONE,-1,-1,-1,-1,-1,-1
P-293,NONE,-1,-1,-1,-1,-1,-1
P-294,NONE,-1,-1,-1,-1,-1,-1
P-295,U5,0,0,0,69,49,109
P-296,NONE,-1,-1,-1,-1,-1,-1
P-297,U6,98,7,52,166,110,153
P-298,NONE,-1,-1,-1,-1,-1,-1
P-299,U3,0,159,109,87,242,189
P-300,U5,0,49,8,69,146,109
P-301,U4,182,210,103,243,279,175
P-302,NONE,-1,-1,-1,-1,-1,-1
P-303,NONE,-1,-1,-1,-1,-1,-1
P-304,U5,0,190,208,68,279,259
P-305,U5,69,203,0,132,261,53
P-306,NONE,-1,-1,-1,-1,-1,-1
P-307,U1,92,0,0,174,96,43
P-308,U5,69,0,0,133,57,110
P-309,NONE,-1,-1,-1,-1,-1,-1
P-310,U6,98,173,201,163,232,244
P-311,U4,0,0,0,79,43,101
P-312,NONE,-1,-1,-1,-1,-1,-1
P-313,U5,133,93,215,187,184,269
P-314,NONE,-1,-1,-1,-1,-1,-1
P-315,U6,168,174,51,243,227,101
P-316,NONE,-1,-1,-1,-1,-1,-1
P-317,U4,79,117,102,129,170,188
P-318,NONE,-1,-1,-1,-1,-1,-1
P-319,U3,91,215,53,139,316,155
P-320,U5,69,153,53,133,206,110
P-321,NONE,-1,-1,-1,-1,-1,-1
P-322,U2,0,83,109,66,185,154
P-323,NONE,-1,-1,-1,-1,-1,-1
P-324,U6,98,198,61,166,239,101
P-325,NONE,-1,-1,-1,-1,-1,-1
P-326,U3,0,268,188,84,313,239
P-327,U6,0,270,108,96,314,166
P-328,NONE,-1,-1,-1,-1,-1,-1
P-329,U3,140,43,136,234,108,194
P-330,NONE,-1,-1,-1,-1,-1,-1
P-331,U4,0,273,12,71,316,100
P-332,NONE,-1,-1,-1,-1,-1,-1
P-333,U3,140,0,51,240,72,136
P-334,U1,3,261,95,102,315,160
P-335,U1,1,0,99,92,95,156
P-336,U5,0,141,208,68,190,280
P-337,U4,0,133,202,77,235,242
P-338,U1,22,96,73,110,142,160
P-339,U2,63,0,18,139,76,72
P-340,NONE,-1,-1,-1,-1,-1,-1
P-341,U2,121,185,84,208,242,156
P-342,U4,0,70,173,78,133,239
P-343,NONE,-1,-1,-1,-1,-1,-1
P-344,NONE,-1,-1,-1,-1,-1,-1
P-345,U3,91,62,15,138,105,93
P-346,U6,0,160,159,95,270,242
P-347,NONE,-1,-1,-1,-1,-1,-1
P-348,NONE,-1,-1,-1,-1,-1,-1
P-349,NONE,-1,-1,-1,-1,-1,-1
P-350,U5,0,56,209,69,141,269
P-351,U2,132,83,2,173,175,109
P-352,U6,0,131,242,89,197,285
P-353,U6,98,198,0,168,264,61
P-354,U4,129,113,107,181,183,177
P-355,U3,91,105,1,136,165,53
P-356,U6,0,2,128,95,79,227
P-357,U5,69,214,158,127,270,198
P-358,U4,182,219,22,242,293,103
P-359,NONE,-1,-1,-1,-1,-1,-1
P-360,U6,168,94,0,244,174,53
P-361,U4,129,252,107,180,313,172
P-362,NONE,-1,-1,-1,-1,-1,-1
P-363,U4,0,62,101,79,129,173
P-364,NONE,-1,-1,-1,-1,-1,-1
P-365,U3,0,144,14,88,254,109
P-366,U5,187,72,0,243,143,105
P-367,U1,0,143,107,106,212,161
P-368,NONE,-1,-1,-1,-1,-1,-1
P-369,U2,149,0,72,207,75,156
P-370,NONE,-1,-1,-1,-1,-1,-1
P-371,U3,0,0,190,91,48,242
P-372,NONE,-1,-1,-1,-1,-1,-1
P-373,U4,182,75,103,244,147,187
P-374,NONE,-1,-1,-1,-1,-1,-1
P-375,U4,79,201,5,127,268,102
P-376,NONE,-1,-1,-1,-1,-1,-1
P-377,NONE,-1,-1,-1,-1,-1,-1
P-378,U5,187,251,187,240,310,276
P-379,NONE,-1,-1,-1,-1,-1,-1
P-380,U5,69,261,12,131,317,53
P-381,U4,79,237,170,127,301,239
P-382,U2,42,83,3,85,185,109
P-383,NONE,-1,-1,-1,-1,-1,-1
P-384,U4,182,245,175,242,318,244
P-385,U5,69,171,110,133,211,158
P-386,U2,0,185,0,65,248,110
P-387,U6,0,270,66,96,317,108
P-388,NONE,-1,-1,-1,-1,-1,-1
P-389,NONE,-1,-1,-1,-1,-1,-1
P-390,NONE,-1,-1,-1,-1,-1,-1
P-391,U2,109,248,0,182,313,87
P-392,U2,153,83,109,216,170,149
P-393,U6,168,230,241,233,277,285
P-394,U3,0,63,0,90,144,109
P-395,NONE,-1,-1,-1,-1,-1,-1
P-396,U2,0,83,0,42,185,109
P-397,U4,129,198,27,180,257,107
P-398,U4,129,54,4,181,139,107
P-399,U4,79,268,81,124,312,170
P-400,U5,69,153,1,133,203,53
