Package Identifier,ULD Identifier,x1,y1,z1,x2,y2,z2
P-136,U5,0,248,0,102,314,47
P-137,None,-1,-1,-1,-1,-1,-1
P-138,None,-1,-1,-1,-1,-1,-1
P-139,U5,169,216,0,244,312,84
P-140,None,-1,-1,-1,-1,-1,-1
P-141,U4,167,33,116,237,76,203
P-142,U5,169,18,136,243,110,219
P-143,None,-1,-1,-1,-1,-1,-1
P-144,U2,0,84,0,59,190,72
P-145,U5,169,110,0,244,216,79
P-146,U2,96,0,71,152,100,116
P-147,U5,102,244,181,167,299,227
P-148,U5,0,50,90,100,99,157
P-149,U2,179,210,0,224,314,63
P-150,U6,190,83,222,232,137,280
P-151,U4,0,102,0,106,181,44
P-152,U1,159,248,46,208,315,103
P-153,None,-1,-1,-1,-1,-1,-1
P-154,None,-1,-1,-1,-1,-1,-1
P-155,U1,52,168,114,139,263,161
P-156,U1,144,0,114,217,110,161
P-157,U6,0,225,231,88,313,285
P-158,None,-1,-1,-1,-1,-1,-1
P-159,U4,0,93,177,92,145,227
P-160,None,-1,-1,-1,-1,-1,-1
P-161,None,-1,-1,-1,-1,-1,-1
P-162,U5,102,141,121,167,245,167
P-163,U6,110,0,80,193,83,129
P-164,U2,0,174,72,87,276,112
P-165,U3,144,0,80,237,96,183
P-166,U4,0,251,57,103,313,141
P-167,U5,0,0,48,100,50,95
P-168,U3,22,158,142,110,226,229
P-169,U1,52,74,114,139,168,162
P-170,U5,0,6,95,100,50,176
P-171,U6,193,83,129,243,138,222
P-172,U3,110,158,162,181,209,238
P-173,None,-1,-1,-1,-1,-1,-1
P-174,None,-1,-1,-1,-1,-1,-1
P-175,None,-1,-1,-1,-1,-1,-1
P-176,U4,0,152,171,102,214,231
P-177,U5,0,50,157,99,94,198
P-178,None,-1,-1,-1,-1,-1,-1
P-179,U4,167,13,54,240,76,116
P-180,U6,46,0,212,105,80,283
P-181,U3,96,0,0,154,98,57
P-182,U2,0,0,117,70,78,162
P-183,U3,108,98,69,180,155,174
P-184,None,-1,-1,-1,-1,-1,-1
P-185,U2,0,168,114,67,268,156
P-186,U6,197,225,0,244,309,93
P-187,U6,106,83,190,190,137,268
P-188,U6,53,139,63,104,225,114
P-189,U6,106,83,127,193,139,190
P-190,None,-1,-1,-1,-1,-1,-1
P-191,None,-1,-1,-1,-1,-1,-1
P-192,U5,169,110,141,243,186,195
P-193,None,-1,-1,-1,-1,-1,-1
P-194,U2,152,0,67,223,109,115
P-195,None,-1,-1,-1,-1,-1,-1
P-196,None,-1,-1,-1,-1,-1,-1
P-197,None,-1,-1,-1,-1,-1,-1
P-198,U2,0,0,0,59,84,74
P-199,U5,102,177,63,169,250,121
P-200,None,-1,-1,-1,-1,-1,-1
P-201,None,-1,-1,-1,-1,-1,-1
P-202,U1,0,216,114,52,310,154
P-203,None,-1,-1,-1,-1,-1,-1
P-204,None,-1,-1,-1,-1,-1,-1
P-205,U4,106,278,73,153,318,182
P-206,U2,0,268,112,60,315,153
P-207,U6,197,225,93,242,295,188
P-208,U4,0,102,88,102,152,177
P-209,U5,169,186,84,244,258,128
P-210,None,-1,-1,-1,-1,-1,-1
P-211,U3,1,0,64,96,96,145
P-212,U5,169,5,88,243,110,136
P-213,None,-1,-1,-1,-1,-1,-1
P-214,U6,46,0,154,107,81,212
P-215,U3,0,228,0,87,317,80
P-216,U5,102,2,195,166,46,278
P-217,U5,169,186,188,243,258,266
P-218,U3,18,98,68,108,157,145
P-219,U3,144,0,183,220,94,244
P-220,U2,152,109,67,223,213,111
P-221,U6,88,225,240,137,293,284
P-222,U6,5,0,182,46,73,270
P-223,None,-1,-1,-1,-1,-1,-1
P-224,U5,0,165,175,99,233,231
P-225,U1,0,170,0,68,263,54
P-226,U5,169,186,128,243,258,188
P-227,U4,106,182,73,165,278,146
P-228,None,-1,-1,-1,-1,-1,-1
P-229,None,-1,-1,-1,-1,-1,-1
P-230,U1,52,263,106,138,311,152
P-231,U4,167,76,140,235,125,236
P-232,U5,102,98,0,169,182,47
P-233,None,-1,-1,-1,-1,-1,-1
P-234,U2,152,213,65,217,317,108
P-235,None,-1,-1,-1,-1,-1,-1
P-236,U6,106,83,71,197,139,127
P-237,None,-1,-1,-1,-1,-1,-1
P-238,U5,0,179,0,102,248,50
P-239,None,-1,-1,-1,-1,-1,-1
P-240,None,-1,-1,-1,-1,-1,-1
P-241,U4,167,76,49,241,147,140
P-242,U6,88,225,171,141,314,240
P-243,None,-1,-1,-1,-1,-1,-1
P-244,U5,169,110,79,244,186,141
P-245,None,-1,-1,-1,-1,-1,-1
P-246,U1,159,146,54,220,248,114
P-247,None,-1,-1,-1,-1,-1,-1
P-248,U2,102,0,0,179,52,67
P-249,U1,75,69,0,142,158,55
P-250,U4,0,247,141,102,312,200
P-251,None,-1,-1,-1,-1,-1,-1
P-252,U3,96,0,57,144,95,167
P-253,None,-1,-1,-1,-1,-1,-1
P-254,None,-1,-1,-1,-1,-1,-1
P-255,U3,0,0,0,96,98,64
P-256,U4,167,125,170,233,217,234
P-257,U1,0,263,0,67,314,54
P-258,U6,173,0,137,244,82,192
P-259,None,-1,-1,-1,-1,-1,-1
P-260,U4,0,0,152,99,43,201
P-261,U2,144,73,116,221,173,158
P-262,None,-1,-1,-1,-1,-1,-1
P-263,None,-1,-1,-1,-1,-1,-1
P-264,U3,0,98,0,108,158,68
P-265,U3,181,98,0,239,158,47
P-266,U3,180,98,100,241,151,188
P-267,None,-1,-1,-1,-1,-1,-1
P-268,None,-1,-1,-1,-1,-1,-1
P-269,U5,169,258,134,243,316,190
P-270,U6,104,139,237,156,209,284
P-271,U2,96,196,65,140,288,106
P-272,U2,59,88,0,99,163,64
P-273,U6,104,139,78,183,224,149
P-274,U5,169,0,0,244,110,88
P-275,U5,169,258,190,243,303,267
P-276,U5,102,198,214,164,244,283
P-277,U6,1,83,172,106,137,280
P-278,U2,144,0,116,224,73,160
P-279,None,-1,-1,-1,-1,-1,-1
P-280,U6,142,225,117,195,315,178
P-281,None,-1,-1,-1,-1,-1,-1
P-282,U6,0,225,0,107,317,54
P-283,U5,0,99,141,100,165,238
P-284,U3,0,158,0,110,228,52
P-285,U3,0,98,145,108,152,226
P-286,None,-1,-1,-1,-1,-1,-1
P-287,None,-1,-1,-1,-1,-1,-1
P-288,None,-1,-1,-1,-1,-1,-1
P-289,U5,102,261,0,168,304,70
P-290,U4,167,147,124,236,227,170
P-291,U2,70,189,112,144,270,152
P-292,None,-1,-1,-1,-1,-1,-1
P-293,U1,0,41,58,56,145,114
P-294,None,-1,-1,-1,-1,-1,-1
P-295,U3,181,158,0,230,227,109
P-296,None,-1,-1,-1,-1,-1,-1
P-297,U5,0,248,47,101,316,150
P-298,None,-1,-1,-1,-1,-1,-1
P-299,U6,110,0,0,197,83,80
P-300,U5,0,101,44,101,170,141
P-301,U2,102,246,0,171,318,61
P-302,None,-1,-1,-1,-1,-1,-1
P-303,U4,0,251,0,106,313,57
P-304,U6,141,225,178,192,314,246
P-305,U3,181,98,47,244,156,100
P-306,None,-1,-1,-1,-1,-1,-1
P-307,U2,0,0,74,96,82,117
P-308,None,-1,-1,-1,-1,-1,-1
P-309,None,-1,-1,-1,-1,-1,-1
P-310,U5,102,141,167,167,200,210
P-311,None,-1,-1,-1,-1,-1,-1
P-312,U1,62,0,58,159,90,114
P-313,U6,88,225,117,142,316,171
P-314,None,-1,-1,-1,-1,-1,-1
P-315,U5,169,258,84,244,311,134
P-316,None,-1,-1,-1,-1,-1,-1
P-317,U6,184,139,62,237,225,112
P-318,None,-1,-1,-1,-1,-1,-1
P-319,U5,0,0,0,102,101,48
P-320,U5,102,141,210,166,198,263
P-321,None,-1,-1,-1,-1,-1,-1
P-322,U2,179,108,0,224,210,66
P-323,None,-1,-1,-1,-1,-1,-1
P-324,U2,0,276,69,68,317,109
P-325,None,-1,-1,-1,-1,-1,-1
P-326,U6,53,139,114,104,223,159
P-327,U5,0,94,238,96,152,282
P-328,None,-1,-1,-1,-1,-1,-1
P-329,U5,102,4,137,167,98,195
P-330,None,-1,-1,-1,-1,-1,-1
P-331,U2,59,0,0,102,88,71
P-332,U4,0,43,94,103,100,173
P-333,U5,0,170,50,100,242,135
P-334,U1,75,158,0,140,257,54
P-335,U4,106,1,138,163,96,229
P-336,U6,174,139,236,242,211,285
P-337,U2,144,173,111,221,275,151
P-338,None,-1,-1,-1,-1,-1,-1
P-339,U4,167,0,0,243,76,54
P-340,None,-1,-1,-1,-1,-1,-1
P-341,U4,106,96,75,163,168,162
P-342,None,-1,-1,-1,-1,-1,-1
P-343,U2,102,52,0,179,159,67
P-344,None,-1,-1,-1,-1,-1,-1
P-345,U6,3,0,135,46,78,182
P-346,U6,0,0,0,110,83,95
P-347,None,-1,-1,-1,-1,-1,-1
P-348,None,-1,-1,-1,-1,-1,-1
P-349,None,-1,-1,-1,-1,-1,-1
P-350,U6,174,139,176,243,224,236
P-351,None,-1,-1,-1,-1,-1,-1
P-352,U5,102,98,119,168,141,208
P-353,U5,102,250,70,168,311,140
P-354,U4,106,96,162,158,166,232
P-355,U1,0,156,114,52,216,159
P-356,U5,0,239,150,99,316,245
P-357,U6,197,83,71,237,139,129
P-358,U4,106,15,64,166,96,138
P-359,None,-1,-1,-1,-1,-1,-1
P-360,U6,0,139,202,53,219,278
P-361,U1,68,257,0,133,318,51
P-362,U4,106,96,0,167,182,75
P-363,U5,102,98,47,169,177,119
P-364,None,-1,-1,-1,-1,-1,-1
P-365,U3,132,228,0,242,316,95
P-366,U6,106,83,0,211,139,71
P-367,U1,148,108,0,217,214,54
P-368,None,-1,-1,-1,-1,-1,-1
P-369,U1,0,0,0,75,84,58
P-370,None,-1,-1,-1,-1,-1,-1
P-371,U1,0,65,114,52,156,162
P-372,None,-1,-1,-1,-1,-1,-1
P-373,U4,167,147,62,239,231,124
P-374,None,-1,-1,-1,-1,-1,-1
P-375,U5,0,165,231,97,232,279
P-376,None,-1,-1,-1,-1,-1,-1
P-377,None,-1,-1,-1,-1,-1,-1
P-378,U1,0,145,55,53,234,114
P-379,None,-1,-1,-1,-1,-1,-1
P-380,U1,0,0,58,62,41,114
P-381,U5,102,244,227,166,313,275
P-382,U4,0,0,0,106,102,43
P-383,None,-1,-1,-1,-1,-1,-1
P-384,U3,108,98,0,181,158,69
P-385,U2,0,277,0,48,317,64
P-386,None,-1,-1,-1,-1,-1,-1
P-387,U2,96,100,67,143,196,109
P-388,None,-1,-1,-1,-1,-1,-1
P-389,None,-1,-1,-1,-1,-1,-1
P-390,None,-1,-1,-1,-1,-1,-1
P-391,U2,102,159,0,175,246,65
P-392,U2,59,163,0,99,250,63
P-393,U5,102,200,167,167,244,214
P-394,U6,7,225,122,88,315,231
P-395,U4,106,182,0,166,290,73
P-396,U4,0,1,43,102,43,152
P-397,U1,0,234,54,51,314,113
P-398,U4,0,155,64,103,240,116
P-399,U3,87,228,0,132,317,44
P-400,U1,100,250,54,150,314,106
